"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc"
"https://www.google.ca/maps/place/1+Putt+Virtual+Golf/data=!4m7!3m6!1s0x53a03bb874c270f7:0xb4a35993180769ee!8m2!3d53.641804!4d-113.4437544!16s%2Fg%2F11trzpwhjk!19sChIJ93DCdLg7oFMR7mkHGJNZo7Q?authuser=0&hl=en&rclk=1","1 Putt Virtual Golf","4.9","(78)","Indoor golf course","·","","·","6816 178 Ave NW","Open","⋅ Closes 11 p.m.","https://lh5.googleusercontent.com/p/AF1QipOsZ0uMVdXsS3Vh4LULOsGK5_PyIIR2o2c37nwt=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nice air-conditioned facility and comfortable seating."""
"https://www.google.ca/maps/place/Fore+Seasons+Indoor+Golf+Centre/data=!4m7!3m6!1s0x53909136e7e14737:0xce434b2bef0c08d2!8m2!3d55.1659927!4d-118.8453522!16s%2Fg%2F11gl30tj9d!19sChIJN0fh5zaRkFMR0ggM7ytLQ84?authuser=0&hl=en&rclk=1","Fore Seasons Indoor Golf Centre","4.8","(48)","Indoor golf course","·","","·","9645 116 St","Open","⋅ Closes 11 p.m.","https://lh5.googleusercontent.com/p/AF1QipPDUOMdGVWVrSktx-T39f1jC2n5y0I9IL2NXmf4=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent facility, clean, modern  & very impressive."""
"https://www.google.ca/maps/place/On+Par+Golf+and+Lounge/data=!4m7!3m6!1s0x539f8f74fbdea365:0x1671cfc07c3be687!8m2!3d53.5395058!4d-113.8873125!16s%2Fg%2F11g0jd64rc!19sChIJZaPe-3SPn1MRh-Y7fMDPcRY?authuser=0&hl=en&rclk=1","On Par Golf and Lounge","4.7","(79)","Indoor golf course","·","","·","485 South Ave Unit 144","Open","⋅ Closes 9 p.m.","https://lh5.googleusercontent.com/p/AF1QipNZI1jKV9Yl_6tMzMA9h75LEOhQiFUOM4CZ8zof=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bring indoor shoes and be ready to have a blast."""
"https://www.google.ca/maps/place/Golf+Traders+Indoor+Golf+Center/data=!4m7!3m6!1s0x53a01f00f32bb8bf:0x7382f36aecd44c79!8m2!3d53.4737586!4d-113.485382!16s%2Fg%2F11sfdnb70n!19sChIJv7gr8wAfoFMReUzU7GrzgnM?authuser=0&hl=en&rclk=1","Golf Traders Indoor Golf Center","4.6","(16)","Indoor golf course","·","","3865 99 St NW","","Open","⋅ Closes 11 p.m.","https://lh5.googleusercontent.com/p/AF1QipM67HjvSd-GOTC5CZgQJG_IlwlXNx0zCNwlG_7a=w109-h92-k-no","","Onsite services"
"https://www.google.ca/maps/place/The+Golf+Den+Inc./data=!4m7!3m6!1s0x53a0179678fe90af:0x70dc774a4bc9aa08!8m2!3d53.5135545!4d-113.3295422!16s%2Fg%2F1v_vslc_!19sChIJr5D-eJYXoFMRCKrJS0p33HA?authuser=0&hl=en&rclk=1","The Golf Den Inc.","4.3","(54)","Indoor golf course","·","","·","975 Ordze Rd","Open","⋅ Closes 8 p.m.","https://lh5.googleusercontent.com/p/AF1QipOgDO4jdAa0aT73PpQKh2GJXGW2eEpp7ZjCFV2V=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great atmosphere, great selection of courses to play to any handicap"""
"https://www.google.ca/maps/place/Golf+Biz+Canada+Virtual+Golf/data=!4m7!3m6!1s0x539f8f444ea13787:0x778d1550a920cb7c!8m2!3d53.5444886!4d-113.9782607!16s%2Fg%2F11w7c__0bx!19sChIJhzehTkSPn1MRfMsgqVAVjXc?authuser=0&hl=en&rclk=1","Golf Biz Canada Virtual Golf","4.6","(19)","Indoor golf course","·","","·","101 N Park Dr","Open","⋅ Closes 9 p.m.","https://lh5.googleusercontent.com/p/AF1QipOxYSFFpxDdYGUyyMrRQ-UBh1utu1W1OYqCnJOI=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great facility with lots of space and really nice private simulator rooms."""
"https://www.google.ca/maps/place/The+Turn+Indoor+Golf+and+Lounge/data=!4m7!3m6!1s0x53992d423ef34071:0x8e7b317173987e47!8m2!3d54.1421247!4d-115.6855195!16s%2Fg%2F11w80x3x90!19sChIJcUDzPkItmVMRR36Yc3Exe44?authuser=0&hl=en&rclk=1","The Turn Indoor Golf and Lounge","5.0","(4)","Indoor golf course","·","","·","5011 52 Ave","Closed","⋅ Opens 11 a.m. Tue","https://lh5.googleusercontent.com/p/AF1QipMWBo-vda9mPRQnsT2IBgVpiXemrGVOuKydYwfp=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The soft top couches behind the play area are great as are the cocktails."""
"https://www.google.ca/maps/place/High+Level+Indoor+Golf/data=!4m7!3m6!1s0x53c08351bbec5ffd:0x156e0f34411f4f52!8m2!3d58.5185675!4d-117.1298089!16s%2Fg%2F11cs3n8kbw!19sChIJ_V_su1GDwFMRUk8fQTQPbhU?authuser=0&hl=en&rclk=1","High Level Indoor Golf","4.8","(5)","Indoor golf course","·","","9904 100 Ave","","","","https://lh5.googleusercontent.com/p/AF1QipOmgtHNv1pdPjLqquDHpXi9MerMj7sapj0CzUxM=w163-h92-k-no","",""
"https://www.google.ca/maps/place/Hornbrook+Hollow%27s+Funhouse/data=!4m7!3m6!1s0x539091eabd2cf5e7:0x87411e256c3fae39!8m2!3d55.1694596!4d-118.8113631!16s%2Fg%2F11fq_dxn48!19sChIJ5_UsveqRkFMROa4_bCUeQYc?authuser=0&hl=en&rclk=1","Hornbrook Hollow's Funhouse","4.7","(132)","Miniature golf course","·","","·","9818 105 St","Closed","⋅ Opens 4 p.m. Tue","https://lh5.googleusercontent.com/p/AF1QipPeHhYvONK4st8xWNlVUSDamlqhhKzjGtjLGF6-=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Gorgeous art and every nook had a little something extra to enhance the fun."""
"https://www.google.ca/maps/place/Nevada+Bob%E2%80%99s+Golf+-+Grande+Prairie/data=!4m7!3m6!1s0x5390914e71736e6b:0x9e938d5e05d2410a!8m2!3d55.1692665!4d-118.7902593!16s%2Fg%2F1tptq8yk!19sChIJa25zcU6RkFMRCkHSBV6Nk54?authuser=0&hl=en&rclk=1","Nevada Bob’s Golf - Grande Prairie","4.4","(78)","Sporting goods store","·","","·","9845 99 Ave #34","Open","⋅ Closes 6 p.m.","https://lh5.googleusercontent.com/p/AF1QipPSPKWoLsxS2ZBFfSqmiO8RKSmFCvM8rFmplBig=w122-h92-k-no","","In-store shopping"
"https://www.google.ca/maps/place/South+Century+Driving+Range/data=!4m7!3m6!1s0x539f8e831ae3b093:0xbb45b765dd6b5ea1!8m2!3d53.5212914!4d-113.8858107!16s%2Fg%2F1pp2tl2_1!19sChIJk7DjGoOOn1MRoV5r3WW3Rbs?authuser=0&hl=en&rclk=1","South Century Driving Range","4.6","(82)","Golf driving range","·","","·","121 Century Rd","Open","⋅ Closes 9 p.m.","https://lh5.googleusercontent.com/p/AF1QipMLgNvE618XmghOeOjwqUcw4E4fH0MtLLHuzk3F=w128-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nice clean facility, good prices."""
"https://www.google.ca/maps/place/The+Village+Golf+Course+Inc./data=!4m7!3m6!1s0x539e4a7f97800549:0x5c9616dbeaf06fea!8m2!3d53.2498933!4d-114.7102037!16s%2Fg%2F11bychy16d!19sChIJSQWAl39KnlMR6m_w6tsWllw?authuser=0&hl=en&rclk=1","The Village Golf Course Inc.","4.2","(64)","Golf club","·","","·","5427 Township Rd 494","Open","⋅ Closes 9 p.m.","https://lh5.googleusercontent.com/p/AF1QipM7u9lhofibbSY4fVF5A2mFybzouxE3jIdfXgbh=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Unbelievably fun & scenic course at a very affordable price."""
"https://www.google.ca/maps/place/Mini+Links+-+Mini+Golf+and+Ice+Cream/data=!4m7!3m6!1s0x5390914f69797989:0x986f7fb40a5646c!8m2!3d55.1709325!4d-118.8051792!16s%2Fg%2F11bzq3ckz6!19sChIJiXl5aU-RkFMRbGSlQPv3hgk?authuser=0&hl=en&rclk=1","Mini Links - Mini Golf and Ice Cream","4.6","(114)","Miniature golf course","·","","·","10326 100 Ave.","Open","⋅ Closes 9 p.m.","https://lh5.googleusercontent.com/p/AF1QipM_2kOOKPQ02xJg9f9VziL7V3N-5Ji-IaIlAUbS=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The mini golf is still mediocre but the staff is great and very friendly."""
"https://www.google.ca/maps/place/Putting+Horse+Ranch/data=!4m7!3m6!1s0x539f8e8266967b9d:0x968da858ffd8cee4!8m2!3d53.5878276!4d-113.8857155!16s%2Fg%2F1tdzwd5q!19sChIJnXuWZoKOn1MR5M7Y_1iojZY?authuser=0&hl=en&rclk=1","Putting Horse Ranch","4.5","(236)","Outdoor activity organiser","·","","·","53312 Range Rd 272","Open","⋅ Closes 9 p.m.","https://lh5.googleusercontent.com/p/AF1QipPN8EwY2OUppMB6VsDVbjC19_wt_SgVOCKIpGLK=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Greens were well maintained and had lots of fun challenges."""
"https://www.google.ca/maps/place/BiGG+Golf+Academy+-+Optimize+Your+Golf+Game/data=!4m7!3m6!1s0x8d9efef0cb74367f:0xc8df0e1b5f0d718b!8m2!3d53.1726238!4d-114.0011159!16s%2Fg%2F11svyy9hxw!19sChIJfzZ0y_D-no0Ri3ENXxsO38g?authuser=0&hl=en&rclk=1","BiGG Golf Academy - Optimize Your Golf Game","5.0","(4)","Golf instructor","·","","48447 Range Rd 10","","Open","⋅ Closes 8 p.m.","https://lh5.googleusercontent.com/p/AF1QipNFMoO72ni-aT-rworZaCw2K70K1xEF2uBzHW36=w122-h92-k-no","","Online classes"
"https://www.google.ca/maps/place/The+Links+At+Spruce+Grove/data=!4m7!3m6!1s0x539f8e8e9a728c69:0x8bd6d5e66b4b0bcf!8m2!3d53.5616154!4d-113.9042856!16s%2Fg%2F1tmg674z!19sChIJaYxymo6On1MRzwtLa-bV1os?authuser=0&hl=en&rclk=1","The Links At Spruce Grove","4.1","(336)","Public golf course","·","","·","100 Links Rd","Open now","","https://lh5.googleusercontent.com/p/AF1QipMQ8rBJbWTYZvc1S8e07Mkn1lV1T1gX1kkKj1y5=w80-h106-k-no","","Onsite services"
"https://www.google.ca/maps/place/Mike+Knows+Golf/data=!4m7!3m6!1s0xa6a3be51469b440f:0x49ab0230c1fba458!8m2!3d51.2072!4d-121.9883!16s%2Fg%2F11lyptcw7j!19sChIJD0SbRlG-o6YRWKT7wTACq0k?authuser=0&hl=en&rclk=1","Mike Knows Golf","","","Golf instructor","","","","","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","",""
"https://www.google.ca/maps/place/The+19th+Hole/data=!4m7!3m6!1s0x539b2df3649f9cf5:0xf833bf8167fe69b5!8m2!3d53.8885187!4d-119.1194305!16s%2Fg%2F11vlvpkzgh!19sChIJ9ZyfZPMtm1MRtWn-Z4G_M_g?authuser=0&hl=en&rclk=1","The 19th Hole","","","Indoor golf course","·","","1800 Pne Plz Rd","","Closed","⋅ Opens 5 p.m. Tue","https://lh5.googleusercontent.com/p/AF1QipNWPqBTre0xvTTz4qEVQVlMadb-tWWPxKVG_UqF=w122-h92-k-no","",""
"","","","","","","","","","","","","",""
