map url,Name,rating,reviews,keyword,Address,city,postal,state,country,region,website link,website short,featured,bar,food,lessons,leagues,24hrs,bays,Notes,details_desc,facility_img,facility_img2,facility_img3,facility_img4,map_link,active,facility_slug
https://www.google.ca/maps/place/Chipped+In+Golf+School/data=!4m7!3m6!1s0x53713fa73fffc621:0x7f75bc4c48cb328e!8m2!3d51.1897332!4d-114.4723596!16s%2Fg%2F11j23mvjbt!19sChIJIcb_P6c_cVMRjjLLSEy8dX8?authuser=0&hl=en&rclk=1,Chipped In Golf School,,,Golf instructor,402 Railway St W Suite 11,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Cottonwood+Coulee+Golf+Course/data=!4m7!3m6!1s0x53132c5a2e7e67cf:0x44184c149eff5db9!8m2!3d50.0090389!4d-110.7025856!16s%2Fg%2F1v93_qv8!19sChIJz2d-LlosE1MRuV3_nhRMGEQ?authuser=0&hl=en&rclk=1,Cottonwood Coulee Golf Course,4.5,-150,Golf course,3245 10 Ave SW,,,,,,,,,,,,,,,"""The course is in great shape and it's October!""",,,,,,,,
https://www.google.ca/maps/place/DINOS+Centre+Inc./data=!4m7!3m6!1s0x537441a9bf806d27:0x32dc6da23eb8802e!8m2!3d52.000173!4d-113.9777182!16s%2Fg%2F11c54wp5l1!19sChIJJ22Av6lBdFMRLoC4PqJt3DI?authuser=0&hl=en&rclk=1,DINOS Centre Inc.,4.1,-225,Golf driving range,6500 Cottonwood Rd,,,,,,,,,,,,,,,"""We also enjoyed the",,,,,,,,
https://www.google.ca/maps/place/Drop+Zone+Golf+Centre/data=!4m7!3m6!1s0x536e87915f79a809:0x86f458917ec85057!8m2!3d49.7075614!4d-112.781105!16s%2Fg%2F11hnxmcnwp!19sChIJCah5X5GHblMRV1DIfpFY9IY?authuser=0&hl=en&rclk=1,Drop Zone Golf Centre,4.9,-49,Indoor golf course,561 41 St N #2,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Dustin+Risdon+School+of+Golf/data=!4m7!3m6!1s0x537167f314b3e1d3:0x8ebec0e56696088a!8m2!3d51.1526636!4d-114.0383076!16s%2Fg%2F11h3qptdt9!19sChIJ0-GzFPNncVMRigiWZuXAvo4?authuser=0&hl=en&rclk=1,Dustin Risdon School of Golf,4.4,-8,Golf instructor,999 Country Hills Blvd NE,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Dynamic+Motion+Golf+Performance/data=!4m7!3m6!1s0x53716e53de80cf03:0x4ee75715cad905c7!8m2!3d51.0074823!4d-114.060642!16s%2Fg%2F1tkmm6vz!19sChIJA8-A3lNucVMRxwXZyhVX504?authuser=0&hl=en&rclk=1,Dynamic Motion Golf Performance,5,-37,Indoor golf course,5240 1a St SE Bay 103,,,,,,,,,,,,,,,"""The facility is well suited and all of the staff were very knowledgeable.""",,,,,,,,
https://www.google.ca/maps/place/Eaglequest+Golf+Dome/data=!4m7!3m6!1s0x537165121aae62c3:0xcf65de8441014c2a!8m2!3d51.076058!4d-114.036114!16s%2Fg%2F1tg_fqpj!19sChIJw2KuGhJlcVMRKkwBQYTeZc8?authuser=0&hl=en&rclk=1,Eaglequest Golf Dome,3.5,-135,Golf driving range,1025 32 Ave NE,,,,,,,,,,,,,,,"""Good",,,,,,,,
https://www.google.ca/maps/place/Eaglequest+Golf+Driving+Range/data=!4m7!3m6!1s0x5371773ca61d6e3b:0x70af7bea5feb323c!8m2!3d50.9475179!4d-114.0150961!16s%2Fg%2F1tx46qg7!19sChIJO24dpjx3cVMRPDLrX-p7r3A?authuser=0&hl=en&rclk=1,Eaglequest Golf Driving Range,4.3,-90,Golf driving range,45 Douglasbank Way SE,,,,,,,,,,,,,,,"""Great cost for the balls, range requires you to bring tees""",,,,,,,,
https://www.google.ca/maps/place/Evergreen+Golf+Centre/data=!4m7!3m6!1s0x536e867ce0397eed:0x2467c6ab02a30a94!8m2!3d49.6695518!4d-112.7621153!16s%2Fg%2F1vlqpwkq!19sChIJ7X454HyGblMRlAqjAqvGZyQ?authuser=0&hl=en&rclk=1,Evergreen Golf Centre,4.5,-128,Golf course,5225 24 Ave S,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Fore+Seasons+Indoor+Golf+Centre/data=!4m7!3m6!1s0x53909136e7e14737:0xce434b2bef0c08d2!8m2!3d55.1659927!4d-118.8453522!16s%2Fg%2F11gl30tj9d!19sChIJN0fh5zaRkFMR0ggM7ytLQ84?authuser=0&hl=en&rclk=1,Fore Seasons Indoor Golf Centre,4.8,-48,Indoor golf course,9645 116 St,,,,,,,,,,,,,,,"""Excellent facility, clean, modern  & very impressive.""",,,,,,,,
https://www.google.ca/maps/place/Freestyle+Social+Club/data=!4m7!3m6!1s0x53717002def46679:0x49c70d82d89be264!8m2!3d51.0413165!4d-114.0647677!16s%2Fg%2F11t5t2jp5j!19sChIJeWb03gJwcVMRZOKb2IINx0k?authuser=0&hl=en&rclk=1,Freestyle Social Club,4.4,-26,Indoor golf course,119 12 Ave SW,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/GO+GO+GOLF/data=!4m7!3m6!1s0x5371715fa149238b:0xc1a59551fc051fe0!8m2!3d50.9637433!4d-114.0738557!16s%2Fg%2F11rxp7v42q!19sChIJiyNJoV9xcVMR4B8F_FGVpcE?authuser=0&hl=en&rclk=1,GO GO GOLF,4.8,-86,Indoor golf course,10135 Southport Rd SW,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Golf+Biz+Canada+Virtual+Golf/data=!4m7!3m6!1s0x539f8f444ea13787:0x778d1550a920cb7c!8m2!3d53.5444886!4d-113.9782607!16s%2Fg%2F11w7c__0bx!19sChIJhzehTkSPn1MRfMsgqVAVjXc?authuser=0&hl=en&rclk=1,Golf Biz Canada Virtual Golf,4.6,-19,Indoor golf course,101 N Park Dr,,,,,,,,,,,,,,,"""Great facility with lots of space and really nice private simulator rooms.""",,,,,,,,
