map_url,Name,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,FQ2IWe src,ah5Ghc,W4Efsd 5,doJOZc,W4Efsd 6,Jn12ke src
https://www.google.ca/maps/place/JMacK+Golf+Studio/data=!4m7!3m6!1s0x4b59890fb7cbdfaf:0xf3e5e263b0c2f372!8m2!3d44.7585835!4d-63.6580854!16s%2Fg%2F11hdxk65z2!19sChIJr9_Ltw-JWUsRcvPCsGPi5fM?authuser=0&hl=en&rclk=1,JMacK Golf Studio,5,-4,Golf instructor,·,31 Glendale Ave,Closed,https://lh5.googleusercontent.com/p/AF1QipOiOGsSDaxbN894KvjXwjakcveDIwTD_P-3lsD5=w92-h92-k-no,"""Most fun I’ve had golfing and I have Jen to thank for that.""",⋅ Opens 9 a.m. Tue,,,https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/JR%27s+Parlore+Golf/data=!4m7!3m6!1s0x4b5965a0a6afbcd1:0x92bce7f4c3162973!8m2!3d45.1060948!4d-63.4230151!16s%2Fg%2F11lp6cfhct!19sChIJ0byvpqBlWUsRcykWw_TnvJI?authuser=0&hl=en&rclk=1,JR's Parlore Golf,5,-14,Indoor golf course,·,47 Nelson Rd,Open,https://lh5.googleusercontent.com/p/AF1QipOh3yTS5imycN8Ze6p3ya5mydxsQIYw70z3f3TK=w122-h92-k-no,Onsite services,⋅ Closes 10 p.m.,,47 Nelson Rd,
https://www.google.ca/maps/place/King+of+Clubs+Golf+Shop/data=!4m7!3m6!1s0x4b5e525485188ceb:0x957758911486fc46!8m2!3d46.2422178!4d-63.1320673!16s%2Fg%2F1vbnn_9y!19sChIJ64wYhVRSXksRRvyGFJFYd5U?authuser=0&hl=en&rclk=1,King of Clubs Golf Shop,4.7,-34,Indoor golf course,·,330 University Ave,·,330 University Ave,Open,⋅ Closes 5 p.m.,https://lh5.googleusercontent.com/p/AF1QipMTiO41_XXGP-hS4Bf8loaAUwUKfUUr5syxLnc1=w122-h92-k-no,In-store pickup,
https://www.google.ca/maps/place/Kingswood+Entertainment+Centre/data=!4m7!3m6!1s0x4ca42441122e5d89:0x8a055ef21f3901a2!8m2!3d45.9302178!4d-66.7117616!16s%2Fg%2F1tm8dl45!19sChIJiV0uEkEkpEwRogE5H_JeBYo?authuser=0&hl=en&rclk=1,Kingswood Entertainment Centre,4.1,"-1,030",Indoor playground,·,·,Open,https://lh5.googleusercontent.com/p/AF1QipPsDwJ7qQ7PKfZyMA-WIFZ_N2gVe4Va7TOymIGT=w138-h92-k-no,Onsite services,⋅ Closes 8 p.m.,,1700 Kingswood Way,
https://www.google.ca/maps/place/LBC+Sports/data=!4m7!3m6!1s0x4b57679ce3202553:0xa5ef452808251679!8m2!3d44.38496!4d-64.5127998!16s%2Fg%2F11wqfgcsgb!19sChIJUyUg45xnV0sReRYlCChF76U?authuser=0&hl=en&rclk=1,LBC Sports,5,-3,Indoor golf course,·,210 Aberdeen Rd,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipOK-4GLXZEJu9kEs6xz8Tq6h_LeZMbcxWgey2Di=w138-h92-k-no,"""None on site
- Entrance is at the back of the building

Golf here!""",,,,https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Let+it+Snow+Golf/data=!4m7!3m6!1s0x4b5f856624333303:0xaddbb7c6edb85b6d!8m2!3d46.4203643!4d-63.7224006!16s%2Fg%2F11pkjc_pfj!19sChIJAzMzJGaFX0sRbVu47ca3260?authuser=0&hl=en&rclk=1,Let it Snow Golf,4.9,-9,Indoor golf course,·,26172 PE-2,Open,https://lh5.googleusercontent.com/p/AF1QipNeZwytS4Vf911JordG25b7onv3HEfAqfomQ3mA=w163-h92-k-no,⋅ Closes 10 p.m.,,,,
https://www.google.ca/maps/place/Links+Lounge+Premium+Golf+Suites/data=!4m7!3m6!1s0x4b5989426c24faa7:0x44ffce13d80a5923!8m2!3d44.7682891!4d-63.6875859!16s%2Fg%2F11y3b63gnx!19sChIJp_okbEKJWUsRI1kK2BPO_0Q?authuser=0&hl=en&rclk=1,Links Lounge Premium Golf Suites,4.9,-47,Indoor golf course,·,622 Sackville Dr #4,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipPRMVrzAgQnetw85lr3UcUbI8sGjVh23H1WlyTe=w197-h92-k-no,,,,,
https://www.google.ca/maps/place/LOUIS+MELANSON+GOLF+COACH/data=!4m7!3m6!1s0x4ca0bedb826f8e5d:0x926334bbaee1161e!8m2!3d46.1149007!4d-64.766762!16s%2Fg%2F11fkwg0ngy!19sChIJXY5vgtu-oEwRHhbhrrs0Y5I?authuser=0&hl=en&rclk=1,LOUIS MELANSON GOLF COACH,,,Golf instructor,·,211 Mill Rd,Closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uehCvOyt-ye0ONmehcwwSQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=24.13235&pitch=0&thumbfov=100,,⋅ Opens 11 a.m. Tue,,,
https://www.google.ca/maps/place/Marcel+West+Fitness+and+Coaching/data=!4m7!3m6!1s0x4b5e53779ea51b69:0x335fc7a076a14153!8m2!3d46.2584931!4d-63.1399564!16s%2Fg%2F11sms556mg!19sChIJaRulnndTXksRU0GhdqDHXzM?authuser=0&hl=en&rclk=1,Marcel West Fitness and Coaching,5,-11,Indoor golf course,·,560 University Ave,560 University Ave,,Open,⋅ Closes 10 p.m.,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NCkR4N65ir0smtrixxUFgg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=246.46773&pitch=0&thumbfov=100,"""Great prices, best place in PEI for indoor golf""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Par+94+Golf+Fredericton/data=!4m7!3m6!1s0x4ca419d460e3f65d:0xd0afc4078bc60db6!8m2!3d45.9636171!4d-66.6450543!16s%2Fg%2F11q255jc5d!19sChIJXfbjYNQZpEwRtg3GiwfEr9A?authuser=0&hl=en&rclk=1,Par 94 Golf Fredericton,4.7,-55,Indoor golf course,·,·,Open,https://lh5.googleusercontent.com/p/AF1QipNLycRm3e4r51WU19YN6EdhdSxBm3JZwTWitu1R=w123-h92-k-no,,⋅ Closes 10 p.m.,,320 Queen St,
