map url,Name,rating,reviews,keyword,Address,city,postal,state,country,region,website link,website short,,,FQ2IWe src,ah5Ghc,Jn12ke src
https://www.google.ca/maps/place/Le+Golf+Club/data=!4m7!3m6!1s0x4cc9174ae2fe212f:0x63a32f419fb4e75d!8m2!3d45.4928303!4d-73.6784863!16s%2Fg%2F11lrlptb8p!19sChIJLyH-4koXyUwRXee0n0Evo2M?authuser=0&hl=en&rclk=1,Le Golf Club,4.7,-124,Indoor golf course,5832 De la Côte-de-Liesse Rd,,,qc,can,,,,Open,⋅ Closes 11 p.m.,https://lh5.googleusercontent.com/p/AF1QipPZAHdOZiqAAxKcZQrmW86zuKIFZVYZbIV70ZM=w148-h92-k-no,,
https://www.google.ca/maps/place/Golf+Exp%C3%A9rience/data=!4m7!3m6!1s0x4cc8bd471e06aa7d:0xb7b421a1273b73c7!8m2!3d46.0276916!4d-73.44558!16s%2Fg%2F11slbjhkg3!19sChIJfaoGHke9yEwRx3M7J6EhtLc?authuser=0&hl=en&rclk=1,Golf Expérience,4.9,-44,Indoor golf course,289 Rue St Marc,,,qc,can,,,,Open,⋅ Closes 9 p.m.,https://lh5.googleusercontent.com/p/AF1QipMVq4gnqQcDN1qGlLQunAomKovvpJjrlHMmGMYG=w196-h92-k-no,,
https://www.google.ca/maps/place/VGolf+Lounge+Qu%C3%A9bec/data=!4m7!3m6!1s0x4cb890bd60008ec7:0x21a2929b59544874!8m2!3d46.8041652!4d-71.3312041!16s%2Fg%2F124sw4cbr!19sChIJx44AYL2QuEwRdEhUWZuSoiE?authuser=0&hl=en&rclk=1,VGolf Lounge Québec,4.7,-265,Indoor golf course,5050 Bd Wilfrid-Hamel local 200,,,qc,can,,,,Open,⋅ Closes 11:30 p.m.,https://lh5.googleusercontent.com/p/AF1QipNzDyOhIDzGGHoZU4OM7wreL1cRk_nM3FM9u1N8=w138-h92-k-no,,
https://www.google.ca/maps/place/Le+Golf+Club+-+Golfin+Dorion/data=!4m7!3m6!1s0x4cc9481b070aa195:0x79f611f16f6b79da!8m2!3d45.3802154!4d-74.0130685!16s%2Fg%2F1ptznl8qw!19sChIJlaEKBxtIyUwR2nlrb_ER9nk?authuser=0&hl=en&rclk=1,Le Golf Club - Golfin Dorion,4.9,-54,Indoor golf course,83 Rte de Lotbinière,,,qc,can,,,,,,https://lh5.googleusercontent.com/p/AF1QipPZalUGI8ZTb5QE7tXlcbYfc8x_G8ga_zJJgm51=w122-h92-k-no,,
https://www.google.ca/maps/place/VGolf+Laval/data=!4m7!3m6!1s0x4cc9238ca2e26ac5:0x2bee25b2e687c75b!8m2!3d45.5758515!4d-73.7878614!16s%2Fg%2F1tykt_n5!19sChIJxWrioowjyUwRW8eH5rIl7is?authuser=0&hl=en&rclk=1,VGolf Laval,4.6,-136,Indoor golf course,379 Bd du Curé-Labelle,,,qc,can,,,,Open,⋅ Closes 10 p.m.,https://lh5.googleusercontent.com/p/AF1QipMle3lr5sNYSBHcyYt0w1E0si5ywTAI9C6TMvk=w138-h92-k-no,,
https://www.google.ca/maps/place/Centre+de+Golf+Le+Foursome/data=!4m7!3m6!1s0x4cc92f8094f06949:0x633f89185197b28!8m2!3d45.5735099!4d-73.9008539!16s%2Fg%2F11v6f79j0w!19sChIJSWnwlIAvyUwRKHsZhZH4MwY?authuser=0&hl=en&rclk=1,Centre de Golf Le Foursome,4.9,-92,Indoor golf course,200A R. Dubois,,,qc,can,,,,Open,⋅ Closes 9 p.m.,https://lh5.googleusercontent.com/p/AF1QipPlT9jo2RyFsyM_PEvzIbGRD_K1inQ4dnOFOUn7=w80-h106-k-no,,
https://www.google.ca/maps/place/Simulation+Sports+Laurentides-+simulateur+de+golf+int%C3%A9rieur+et+plus/data=!4m7!3m6!1s0x4cc8d5f58a4e2067:0x6dbe1a9656419d08!8m2!3d45.7554643!4d-73.9802304!16s%2Fg%2F11kpf3cslj!19sChIJZyBOivXVyEwRCJ1BVpYavm0?authuser=0&hl=en&rclk=1,Simulation Sports Laurentides- simulateur de golf intérieur et plus,5,-55,Indoor golf course,1185 Bd des Laurentides,,,qc,can,,,,Open,⋅ Closes 9 p.m.,https://lh5.googleusercontent.com/p/AF1QipNvq-QIRHOBUk-S4KEyarvSFQHD4FqzVRGRcH1B=w138-h92-k-no,,
https://www.google.ca/maps/place/GOLF+VIRTUEL+CARLO+BLANCHARD/data=!4m7!3m6!1s0x4cc91ef4db3889cf:0x461c1b08dc7aaadd!8m2!3d45.5919882!4d-73.5811693!16s%2Fg%2F11cm05d1t5!19sChIJz4k42_QeyUwR3ap63AgbHEY?authuser=0&hl=en&rclk=1,GOLF VIRTUEL CARLO BLANCHARD,4.1,-59,Indoor golf course,6245 Boulevard Métropolitain E,,,qc,can,,,,Open,⋅ Closes 12 a.m.,https://lh5.googleusercontent.com/p/AF1QipOpSiY_OmLpyy38feK-hIwq_mnoxx03MYL271JF=w122-h92-k-no,,
https://www.google.ca/maps/place/King+Golf+Club/data=!4m7!3m6!1s0x4cc93b2898ba6edf:0xfdc877db32100d66!8m2!3d45.5066467!4d-73.8226226!16s%2Fg%2F11rmzhqsgb!19sChIJ3266mCg7yUwRZg0QMtt3yP0?authuser=0&hl=en&rclk=1,King Golf Club,4.7,-3,Indoor golf course,11841 Pierrefonds Blvd.,,,qc,can,,,,Open,⋅ Closes 3 a.m.,https://lh5.googleusercontent.com/p/AF1QipPOxa8N2-0Uu6pzJWfs3YVfmY03NLaMC1dhdBQg=w80-h142-k-no,,
https://www.google.ca/maps/place/Golf+O+Max+Boucherville/data=!4m7!3m6!1s0x4cc9032f1244f6a1:0xb098f25b24225d78!8m2!3d45.5687901!4d-73.4480774!16s%2Fg%2F11b6gghxcy!19sChIJofZEEi8DyUwReF0iJFvymLA?authuser=0&hl=en&rclk=1,Golf O Max Boucherville,4.6,-143,Indoor golf course,"20 De, Bd de Mortagne",,,qc,can,,,,Open,⋅ Closes 11 p.m.,https://lh5.googleusercontent.com/p/AF1QipP_L4bULmfApLqXrNxcl-PPFa-xVYSJBBH2S7DS=w80-h106-k-no,,
https://www.google.ca/maps/place/Pavillon+de+golf+Ahuntsic/data=!4m7!3m6!1s0x4cc918b547529c4b:0xd0c080c67bdb6653!8m2!3d45.565464!4d-73.6495285!16s%2Fg%2F1tg2k901!19sChIJS5xSR7UYyUwRU2bbe8aAwNA?authuser=0&hl=en&rclk=1,Pavillon de golf Ahuntsic,4.4,-25,Indoor golf course,1750 Rue Sauriol East,,,qc,can,,,,Closes soon,⋅ 5:30 p.m. ⋅ Opens 9 a.m. Mon,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,,
https://www.google.ca/maps/place/Pur+Golf+-+simulateurs+de+golf+-+golf+int%C3%A9rieur/data=!4m7!3m6!1s0x4cc90db8384a51fd:0xa1e3c3b967806567!8m2!3d45.3787487!4d-73.5359361!16s%2Fg%2F11dxdd90_m!19sChIJ_VFKOLgNyUwRZ2WAZ7nD46E?authuser=0&hl=en&rclk=1,Pur Golf - simulateurs de golf - golf intérieur,4.4,-44,Indoor golf course,169 Chem. Saint-François-Xavier,,,qc,can,,,,Open,⋅ Closes 12 a.m.,https://lh5.googleusercontent.com/p/AF1QipMdGUtqi_X03ye8q1u1-2hgvzL0X6Fh_lY-WEvm=w80-h106-k-no,"""I believe they might have some clubs for rent.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Dickson+Golf/data=!4m7!3m6!1s0x4cc91492a558fdbb:0xaebd03795cc698bf!8m2!3d45.3713262!4d-73.7087462!16s%2Fg%2F11l65_0hxt!19sChIJu_1YpZIUyUwRv5jGXHkDva4?authuser=0&hl=en&rclk=1,Dickson Golf,5,-7,Indoor golf course,2000 QC-138,,,qc,can,,,,Open,⋅ Closes 11 p.m.,https://lh5.googleusercontent.com/p/AF1QipOkCh2kdtxHnp4AxOgJJBIh3ruTPjaaxkRn-BKo=w80-h106-k-no,"""Outstanding indoor golf practice facility.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/LE+CLUBHOUSE+-+Caf%C3%A9+%26+Golf/data=!4m7!3m6!1s0x4cc901b46c619cbd:0x442c620e672e57ff!8m2!3d45.5879395!4d-73.2848265!16s%2Fg%2F11y581c9rs!19sChIJvZxhbLQByUwR_1cuZw5iLEQ?authuser=0&hl=en&rclk=1,LE CLUBHOUSE - Café & Golf,4.9,-28,Indoor golf course,4705 Chem. du Crépuscule Local 100,,,qc,can,,,,Closes soon,⋅ 6 p.m. ⋅ Opens 9 a.m. Mon,https://lh5.googleusercontent.com/p/AF1QipNnieL3Wxd7ImnALTKudEyzp_2MA7MPZ36HgZH0=w80-h106-k-no,,
https://www.google.ca/maps/place/KING+GOLF+CLUB+LAVAL/data=!4m7!3m6!1s0x4cc923847276981d:0x189faedb9b40fc66!8m2!3d45.5420423!4d-73.7482257!16s%2Fg%2F11shc5zvdl!19sChIJHZh2coQjyUwRZvxAm9uunxg?authuser=0&hl=en&rclk=1,KING GOLF CLUB LAVAL,5,-8,Indoor golf course,Center St-Martin,,,qc,can,,,,Open,⋅ Closes 3 a.m.,https://lh5.googleusercontent.com/p/AF1QipN2HIjN-lNVGImSLuvXodBK0M2bMcIUcLfJQIqM=w138-h92-k-no,"""This place is well equipped with high technology screens.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Putting+Edge+Downtown/data=!4m7!3m6!1s0x4cc91a6bd2e5ade5:0x87ebbd22309fb615!8m2!3d45.4951268!4d-73.5771893!16s%2Fg%2F1hm444lhp!19sChIJ5a3l0msayUwRFbafMCK964c?authuser=0&hl=en&rclk=1,Putting Edge Downtown,4,"-1,276",Indoor golf course,1259 Guy St,,,qc,can,,,,Open,⋅ Closes 11 p.m.,https://lh5.googleusercontent.com/p/AF1QipPUMJDoWcaP1N8JUyHrR2TIwtXUtAKeZggPynGI=w122-h92-k-no,Onsite services,
https://www.google.ca/maps/place/Golf+Virtuel+Saguenay/data=!4m7!3m6!1s0x4cc021e888e1e137:0xa5c1834c8d663d0a!8m2!3d48.4153425!4d-71.0504169!16s%2Fg%2F11l68jr76t!19sChIJN-HhiOghwEwRCj1mjUyDwaU?authuser=0&hl=en&rclk=1,Golf Virtuel Saguenay,5,-11,Indoor golf course,763 Rue d'Alma,,,qc,can,,,,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/p/AF1QipPrJMMlw8OB_thnZPbZLCqBI9jesI4-Oh2eAv5Y=w80-h92-k-no-pi-0-ya229.0301-ro0-fo100,,
https://www.google.ca/maps/place/Saison+Golf+-+Simulateur+de+golf+int%C3%A9rieur+%C3%A0+Saint-J%C3%A9r%C3%B4me/data=!4m7!3m6!1s0x4ccf2bcd22af0839:0x36517c1728c86e8b!8m2!3d45.7683205!4d-74.0169616!16s%2Fg%2F11vkjb2srv!19sChIJOQivIs0rz0wRi27IKBd8UTY?authuser=0&hl=en&rclk=1,Saison Golf - Simulateur de golf intérieur à Saint-Jérôme,4.7,-90,Indoor golf course,1085 Boul Jean-Baptiste-Rolland O,,,qc,can,,,,Open,⋅ Closes 11 p.m.,https://lh5.googleusercontent.com/p/AF1QipMXOoGQVoFITx7LNkOEowc7qcGZ6DMxtMW89uQ2=w80-h106-k-no,"""Great simulator and ""cage"" (spacious, place for your bag, seating, etc...""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Golf+O-Max+Chateauguay/data=!4m7!3m6!1s0x4cc914c0b2c7ce7b:0x81391b840fc721d!8m2!3d45.3594856!4d-73.7163644!16s%2Fg%2F1hc433mrr!19sChIJe87HssAUyUwRHXL8QLiREwg?authuser=0&hl=en&rclk=1,Golf O-Max Chateauguay,3.8,-31,Indoor golf course,301 Boulevard d'Anjou,,,qc,can,,,,Open,⋅ Closes 3 a.m.,https://lh5.googleusercontent.com/p/AF1QipPZAc5Ske95Liscv8Dt_TPCULcn-ZQrcIeaeu2Y=w80-h142-k-no,"""Relaxing not too crowded.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/GENERATION+GOLF+MIRABEL/data=!4m7!3m6!1s0x4cc92b9b100a0447:0xa8a8d83a743d2c93!8m2!3d45.6758193!4d-73.9343032!16s%2Fg%2F11n0817g1v!19sChIJRwQKEJsryUwRkyw9dDrYqKg?authuser=0&hl=en&rclk=1,GENERATION GOLF MIRABEL,4.3,-216,Indoor golf course,11695 Mnt Sainte-Marianne Suite 306,,,qc,can,,,,Open,⋅ Closes 11 p.m.,https://lh5.googleusercontent.com/p/AF1QipMpJuIICDXngMKhbM2cFUNyVvOKVQNxmFCFrFw2=w92-h92-k-no,"""40$ flat fee/hour.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
